WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,n,key_resp_stress_part_two.keys_raw,key_resp_stress_part_two.rt_mean,key_resp_stress_part_two.rt_raw,key_resp_stress_part_two.rt_std,key_resp_stress_part_two.started_mean,key_resp_stress_part_two.started_raw,key_resp_stress_part_two.started_std,key_resp_stress_part_two.stopped_raw,order
cyan,blue,blue,cyan,left,1.0,'left',1.146103024482727,1.146103024482727,0.0,997.302490234375,997.302490234375,0.0,,165.0
cyan,green,green,cyan,left,1.0,'left',3.853980302810669,3.853980302810669,0.0,960.3215942382812,960.3215942382812,0.0,,141.0
cyan,magenta,magenta,cyan,left,1.0,'left',1.2341322898864746,1.2341322898864746,0.0,908.7174072265625,908.7174072265625,0.0,,109.0
yellow,orange,orange,yellow,left,1.0,'right',3.2375028133392334,3.2375028133392334,0.0,754.8860473632812,754.8860473632812,0.0,,7.0
yellow,purple,purple,yellow,left,1.0,'left',1.7419472932815552,1.7419472932815552,0.0,1031.9326171875,1031.9326171875,0.0,,187.0
yellow,brown,brown,yellow,left,1.0,'left',1.9050792455673218,1.9050792455673218,0.0,958.3984985351562,958.3984985351562,0.0,,140.0
yellow,grey,grey,yellow,left,1.0,'left',1.0459216833114624,1.0459216833114624,0.0,854.1036376953125,854.1036376953125,0.0,,70.0
yellow,black,black,yellow,left,1.0,'left',0.8938450813293457,0.8938450813293457,0.0,792.1137084960938,792.1137084960938,0.0,,29.0
yellow,red,red,yellow,left,1.0,'left',0.9961881041526794,0.9961881041526794,0.0,778.54833984375,778.54833984375,0.0,,20.0
yellow,blue,blue,yellow,left,1.0,'left',2.461869955062866,2.461869955062866,0.0,875.2387084960938,875.2387084960938,0.0,,85.0
yellow,green,green,yellow,left,1.0,'left',0.9764742255210876,0.9764742255210876,0.0,795.3590698242188,795.3590698242188,0.0,,32.0
yellow,magenta,magenta,yellow,left,1.0,'left',1.8199903964996338,1.8199903964996338,0.0,836.4326171875,836.4326171875,0.0,,57.0
yellow,cyan,cyan,yellow,left,1.0,'left',1.3680633306503296,1.3680633306503296,0.0,813.1124877929688,813.1124877929688,0.0,,43.0
orange,purple,purple,orange,left,1.0,'left',1.4973856210708618,1.4973856210708618,0.0,779.567138671875,779.567138671875,0.0,,21.0
orange,brown,brown,orange,left,1.0,'left',2.6268134117126465,2.6268134117126465,0.0,742.9008178710938,742.9008178710938,0.0,,0.0
orange,grey,grey,orange,left,1.0,'left',1.8851501941680908,1.8851501941680908,0.0,857.607421875,857.607421875,0.0,,72.0
orange,black,black,orange,left,1.0,'left',1.6600929498672485,1.6600929498672485,0.0,891.9194946289062,891.9194946289062,0.0,,96.0
orange,red,red,orange,left,1.0,'left',0.7550655007362366,0.7550655007362366,0.0,881.29248046875,881.29248046875,0.0,,88.0
orange,blue,blue,orange,left,1.0,'left',2.7733547687530518,2.7733547687530518,0.0,954.57421875,954.57421875,0.0,,138.0
orange,green,green,orange,left,1.0,'left',2.468409299850464,2.468409299850464,0.0,783.6901245117188,783.6901245117188,0.0,,24.0
orange,magenta,magenta,orange,left,1.0,'left',0.9139882922172546,0.9139882922172546,0.0,979.1795654296875,979.1795654296875,0.0,,151.0
orange,cyan,cyan,orange,left,1.0,'left',0.9952875971794128,0.9952875971794128,0.0,971.6622314453125,971.6622314453125,0.0,,146.0
orange,yellow,yellow,orange,left,1.0,'left',4.386784553527832,4.386784553527832,0.0,966.4237670898438,966.4237670898438,0.0,,144.0
purple,brown,brown,purple,left,1.0,'left',1.4840316772460938,1.4840316772460938,0.0,995.7965087890625,995.7965087890625,0.0,,164.0
