Tick	Color	Tone	TimeDur	WordItem	WordColor	AnsLeft	AnsRight	AnsCorr	tick.thisRepN	tick.thisTrialN	tick.thisN	tick.thisIndex	stroop_trials.thisRepN	stroop_trials.thisTrialN	stroop_trials.thisN	stroop_trials.thisIndex	start_session_two	start_stress_one	end_stress_one	rating_evaluation_one.response	rating_evaluation_one.rt	rating_evaluation_two.response	rating_evaluation_two.rt	start_stress_two	key_resp_part_two_meas.keys	key_resp_part_two_meas.rt	key_resp_part_two_meas.started	key_resp_part_two_meas.stopped	end_stress_two	start_cooldown_measurement	end_cooldown_measurement	end_session_two	participant	session	date	expName	psychopyVersion	frameRate
169	green	440	1						0	168	168	168																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
170	green	440	1						0	169	169	169																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
171	green	440	1						0	170	170	170																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
172	green	440	1						0	171	171	171																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
173	green	440	1						0	172	172	172																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
174	green	440	1						0	173	173	173																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
175	green	440	1						0	174	174	174																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
176	green	440	1						0	175	175	175																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
177	green	440	1						0	176	176	176																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
178	green	440	1						0	177	177	177																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
179	green	440	1						0	178	178	178																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
180	yellow	880	0.5						0	179	179	179																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
181	yellow	880	0.5						0	180	180	180																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
182	yellow	880	0.5						0	181	181	181																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
183	yellow	880	0.5						0	182	182	182																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
184	yellow	880	0.5						0	183	183	183																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
185	yellow	880	0.5						0	184	184	184																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
186	yellow	880	0.5						0	185	185	185																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
187	yellow	880	0.5						0	186	186	186																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
188	yellow	880	0.5						0	187	187	187																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
189	yellow	880	0.5						0	188	188	188																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
