Tick	Color	Tone	TimeDur	WordItem	WordColor	AnsLeft	AnsRight	AnsCorr	tick.thisRepN	tick.thisTrialN	tick.thisN	tick.thisIndex	stroop_trials.thisRepN	stroop_trials.thisTrialN	stroop_trials.thisN	stroop_trials.thisIndex	start_session_two	start_stress_one	end_stress_one	rating_evaluation_one.response	rating_evaluation_one.rt	rating_evaluation_two.response	rating_evaluation_two.rt	start_stress_two	key_resp_part_two_meas.keys	key_resp_part_two_meas.rt	key_resp_part_two_meas.started	key_resp_part_two_meas.stopped	end_stress_two	start_cooldown_measurement	end_cooldown_measurement	end_session_two	participant	session	date	expName	psychopyVersion	frameRate
190	yellow	880	0.5						0	189	189	189																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
191	yellow	880	0.5						0	190	190	190																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
192	yellow	880	0.5						0	191	191	191																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
193	yellow	880	0.5						0	192	192	192																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
194	yellow	880	0.5						0	193	193	193																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
195	yellow	880	0.5						0	194	194	194																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
196	yellow	880	0.5						0	195	195	195																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
197	yellow	880	0.5						0	196	196	196																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
198	yellow	880	0.5						0	197	197	197																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
199	yellow	880	0.5						0	198	198	198																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
200	yellow	880	0.5						0	199	199	199																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
201	yellow	880	0.5						0	200	200	200																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
202	yellow	880	0.5						0	201	201	201																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
203	yellow	880	0.5						0	202	202	202																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
204	yellow	880	0.5						0	203	203	203																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
205	yellow	880	0.5						0	204	204	204																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
206	yellow	880	0.5						0	205	205	205																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
207	yellow	880	0.5						0	206	206	206																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
208	yellow	880	0.5						0	207	207	207																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
209	yellow	880	0.5						0	208	208	208																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
210	yellow	880	0.5						0	209	209	209																					pg	2	2019_Sep_26_1136	StressSession	03.01.2003	59.984.823.046.462.700
