Tick,Color,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,text_part_one_evaluation.started,text_part_one_evaluation.stopped,rating_part_one.response,rating_part_one.rt,participant,session,date,expName,psychopyVersion,frameRate,
116,green,0,114,114,114,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
117,green,0,115,115,115,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
118,green,0,116,116,116,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
119,green,0,117,117,117,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
120,green,0,118,118,118,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
121,green,0,119,119,119,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
122,green,0,120,120,120,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
123,green,0,121,121,121,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
124,green,0,122,122,122,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
125,green,0,123,123,123,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
126,green,0,124,124,124,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
127,green,0,125,125,125,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
128,green,0,126,126,126,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
129,green,0,127,127,127,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
130,green,0,128,128,128,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
131,green,0,129,129,129,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
132,green,0,130,130,130,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
133,green,0,131,131,131,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
134,green,0,132,132,132,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
135,green,0,133,133,133,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
136,green,0,134,134,134,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
137,green,0,135,135,135,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
138,green,0,136,136,136,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
139,green,0,137,137,137,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
140,green,0,138,138,138,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
141,green,0,139,139,139,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
142,green,0,140,140,140,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
143,green,0,141,141,141,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
144,green,0,142,142,142,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
145,green,0,143,143,143,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
146,green,0,144,144,144,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
147,green,0,145,145,145,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
148,green,0,146,146,146,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
149,green,0,147,147,147,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
150,green,0,148,148,148,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
151,green,0,149,149,149,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
152,green,0,150,150,150,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
153,green,0,151,151,151,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
154,green,0,152,152,152,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
155,green,0,153,153,153,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
156,green,0,154,154,154,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
157,green,0,155,155,155,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
158,green,0,156,156,156,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
159,green,0,157,157,157,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
160,green,0,158,158,158,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
161,green,0,159,159,159,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
162,green,0,160,160,160,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
163,green,0,161,161,161,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
164,green,0,162,162,162,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
165,green,0,163,163,163,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
166,green,0,164,164,164,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
167,green,0,165,165,165,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
168,green,0,166,166,166,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
169,green,0,167,167,167,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
170,green,0,168,168,168,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
171,green,0,169,169,169,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
172,green,0,170,170,170,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
173,green,0,171,171,171,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
174,green,0,172,172,172,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
175,green,0,173,173,173,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
176,green,0,174,174,174,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
177,green,0,175,175,175,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
178,green,0,176,176,176,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
179,green,0,177,177,177,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
180,yellow,0,178,178,178,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
181,yellow,0,179,179,179,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
182,yellow,0,180,180,180,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
