Tick,Color,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,participant,session,date,expName,psychopyVersion,frameRate,
126,green,0,125,125,125,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
127,green,0,126,126,126,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
128,green,0,127,127,127,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
129,green,0,128,128,128,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
130,green,0,129,129,129,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
131,green,0,130,130,130,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
132,green,0,131,131,131,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
133,green,0,132,132,132,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
134,green,0,133,133,133,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
135,green,0,134,134,134,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
136,green,0,135,135,135,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
137,green,0,136,136,136,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
138,green,0,137,137,137,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
139,green,0,138,138,138,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
140,green,0,139,139,139,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
141,green,0,140,140,140,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
142,green,0,141,141,141,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
143,green,0,142,142,142,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
144,green,0,143,143,143,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
145,green,0,144,144,144,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
146,green,0,145,145,145,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
